sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Utility 1;Utility 2;Utility 3;Utility 4;Utility 5;Utility 6;Utility 7;Utility 8;Utility 9;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Disc. Util. 5;Disc. Util. 6;Disc. Util. 7;Disc. Util. 8;Disc. Util. 9;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Perceived. Util. 5;Perceived. Util. 6;Perceived. Util. 7;Perceived. Util. 8;Perceived. Util. 9;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Bother 5;User Bother 6;User Bother 7;User Bother 8;User Bother 9;User Util. 1;User Util. 2;User Util. 3;User Util. 4;User Util. 5;User Util. 6;User Util. 7;User Util. 8;User Util. 9;Profile 1;Profile 2;Profile 3;Profile 4;Profile 5;Profile 6;Profile 7;Profile 8;Profile 9
0.359;57;;60rounds;Yes;No;9;0.41959;0.79750;0.00000;0.71260;5.38115;BoulwareNegotiationParty@2;BoulwareNegotiationParty@3;BoulwareNegotiationParty@4;BoulwareNegotiationParty@5;BoulwareNegotiationParty@6;BoulwareNegotiationParty@7;BoulwareNegotiationParty@8;BoulwareNegotiationParty@9;BoulwareNegotiationParty@10;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
;2;Session genius.core.session.Session@ad455d4 failed: Failed to execute protocol: Execution failed of Agent@11:java.lang.NullPointerException: bid can not be null: bid can not be null:[/Users/kenielpeart/IdeaProjects/Lab3JonnyBlack/out/production/Lab3JonnyBlack/group21/Agent.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility
0.335;57;;60rounds;Yes;No;9;0.41959;0.79750;0.00000;0.71260;5.38115;ConcederNegotiationParty@20;BoulwareNegotiationParty@21;BoulwareNegotiationParty@22;BoulwareNegotiationParty@23;BoulwareNegotiationParty@24;BoulwareNegotiationParty@25;BoulwareNegotiationParty@26;BoulwareNegotiationParty@27;BoulwareNegotiationParty@28;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7975;0.41958797405781123;0.7776562421903855;0.7380945250000001;0.5174374261999104;0.5238448555508567;0.45643508269352645;0.6941538224732854;0.45643508269352645;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
1.780;56;;60rounds;No;No;0;0.00000;0.00000;1.51874;2.37445;0.00000;BoulwareNegotiationParty@29;Agent@30;BoulwareNegotiationParty@31;BoulwareNegotiationParty@32;BoulwareNegotiationParty@33;BoulwareNegotiationParty@34;BoulwareNegotiationParty@35;BoulwareNegotiationParty@36;BoulwareNegotiationParty@37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
;2;Session genius.core.session.Session@212ae63a failed: Failed to execute protocol: Execution failed of Agent@38:java.lang.NullPointerException: bid can not be null: bid can not be null:[/Users/kenielpeart/IdeaProjects/Lab3JonnyBlack/out/production/Lab3JonnyBlack/group21/Agent.class, /Users/kenielpeart/IdeaProjects/Lab3JonnyBlack/out/production/Lab3JonnyBlack/group21/Agent.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent;Agent;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility
1.229;56;;60rounds;Yes;No;9;0.60378;0.88702;0.00000;0.50678;6.38608;ConcederNegotiationParty@47;Agent@48;BoulwareNegotiationParty@49;BoulwareNegotiationParty@50;BoulwareNegotiationParty@51;BoulwareNegotiationParty@52;BoulwareNegotiationParty@53;BoulwareNegotiationParty@54;BoulwareNegotiationParty@55;0.6758333333333334;0.7398309174266681;0.7360897137542075;0.7023803500000001;0.7911762861531964;0.887020633968178;0.6037844369255122;0.6461839716532861;0.6037844369255122;0.6758333333333334;0.7398309174266681;0.7360897137542075;0.7023803500000001;0.7911762861531964;0.887020633968178;0.6037844369255122;0.6461839716532861;0.6037844369255122;0.6758333333333334;0.7398309174266681;0.7360897137542075;0.7023803500000001;0.7911762861531964;0.887020633968178;0.6037844369255122;0.6461839716532861;0.6037844369255122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6758333333333334;0.7398309174266681;0.7360897137542075;0.7023803500000001;0.7911762861531964;0.887020633968178;0.6037844369255122;0.6461839716532861;0.6037844369255122;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
0.306;55;;60rounds;Yes;No;9;0.37378;0.68667;0.21034;0.61194;5.39107;BoulwareNegotiationParty@56;ConcederNegotiationParty@57;BoulwareNegotiationParty@58;BoulwareNegotiationParty@59;BoulwareNegotiationParty@60;BoulwareNegotiationParty@61;BoulwareNegotiationParty@62;BoulwareNegotiationParty@63;BoulwareNegotiationParty@64;0.6866666666666666;0.3737836875086927;0.5655696318600257;0.5952376;0.6724529949988466;0.5498339261311174;0.6825763909720001;0.5823684954114865;0.6825763909720001;0.6866666666666666;0.3737836875086927;0.5655696318600257;0.5952376;0.6724529949988466;0.5498339261311174;0.6825763909720001;0.5823684954114865;0.6825763909720001;0.6866666666666666;0.3737836875086927;0.5655696318600257;0.5952376;0.6724529949988466;0.5498339261311174;0.6825763909720001;0.5823684954114865;0.6825763909720001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6866666666666666;0.3737836875086927;0.5655696318600257;0.5952376;0.6724529949988466;0.5498339261311174;0.6825763909720001;0.5823684954114865;0.6825763909720001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
;2;Session genius.core.session.Session@61d2b4f1 failed: Failed to execute protocol: Execution failed of Agent@65:java.lang.NullPointerException: bid can not be null: bid can not be null:[/Users/kenielpeart/IdeaProjects/Lab3JonnyBlack/out/production/Lab3JonnyBlack/group21/Agent.class, negotiator.parties.ConcederNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent;ConcederNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility;party7_utility;party8_utility;party9_utility
0.430;55;;60rounds;Yes;No;9;0.54967;0.95587;0.00000;0.56782;6.30430;ConcederNegotiationParty@74;ConcederNegotiationParty@75;BoulwareNegotiationParty@76;BoulwareNegotiationParty@77;BoulwareNegotiationParty@78;BoulwareNegotiationParty@79;BoulwareNegotiationParty@80;BoulwareNegotiationParty@81;BoulwareNegotiationParty@82;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.6625953523549704;0.6358746509773038;0.5496683840955235;0.9558726687254194;0.5496683840955235;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.6625953523549704;0.6358746509773038;0.5496683840955235;0.9558726687254194;0.5496683840955235;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.6625953523549704;0.6358746509773038;0.5496683840955235;0.9558726687254194;0.5496683840955235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.6625953523549704;0.6358746509773038;0.5496683840955235;0.9558726687254194;0.5496683840955235;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
1.020;56;;60rounds;No;No;0;0.00000;0.00000;1.51874;2.37445;0.00000;BoulwareNegotiationParty@83;BoulwareNegotiationParty@84;Agent@85;BoulwareNegotiationParty@86;BoulwareNegotiationParty@87;BoulwareNegotiationParty@88;BoulwareNegotiationParty@89;BoulwareNegotiationParty@90;BoulwareNegotiationParty@91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml;party5_utility.xml;party6_utility.xml;party7_utility.xml;party8_utility.xml;party9_utility.xml
